,Month,Sales
0,1964-01,2815.0
1,1964-02,2672.0
2,1964-03,2755.0
3,1964-04,2721.0
4,1964-05,2946.0
5,1964-06,3036.0
6,1964-07,2282.0
7,1964-08,2212.0
8,1964-09,2922.0
9,1964-10,4301.0
10,1964-11,5764.0
11,1964-12,7312.0
12,1965-01,2541.0
13,1965-02,2475.0
14,1965-03,3031.0
15,1965-04,3266.0
16,1965-05,3776.0
17,1965-06,3230.0
18,1965-07,3028.0
19,1965-08,1759.0
20,1965-09,3595.0
21,1965-10,4474.0
22,1965-11,6838.0
23,1965-12,8357.0
24,1966-01,3113.0
25,1966-02,3006.0
26,1966-03,4047.0
27,1966-04,3523.0
28,1966-05,3937.0
29,1966-06,3986.0
30,1966-07,3260.0
31,1966-08,1573.0
32,1966-09,3528.0
33,1966-10,5211.0
34,1966-11,7614.0
35,1966-12,9254.0
36,1967-01,5375.0
37,1967-02,3088.0
38,1967-03,3718.0
39,1967-04,4514.0
40,1967-05,4520.0
41,1967-06,4539.0
42,1967-07,3663.0
43,1967-08,1643.0
44,1967-09,4739.0
45,1967-10,5428.0
46,1967-11,8314.0
47,1967-12,10651.0
48,1968-01,3633.0
49,1968-02,4292.0
50,1968-03,4154.0
51,1968-04,4121.0
52,1968-05,4647.0
53,1968-06,4753.0
54,1968-07,3965.0
55,1968-08,1723.0
56,1968-09,5048.0
57,1968-10,6922.0
58,1968-11,9858.0
59,1968-12,11331.0
60,1969-01,4016.0
61,1969-02,3957.0
62,1969-03,4510.0
63,1969-04,4276.0
64,1969-05,4968.0
65,1969-06,4677.0
66,1969-07,3523.0
67,1969-08,1821.0
68,1969-09,5222.0
69,1969-10,6872.0
70,1969-11,10803.0
71,1969-12,13916.0
72,1970-01,2639.0
73,1970-02,2899.0
74,1970-03,3370.0
75,1970-04,3740.0
76,1970-05,2927.0
77,1970-06,3986.0
78,1970-07,4217.0
79,1970-08,1738.0
80,1970-09,5221.0
81,1970-10,6424.0
82,1970-11,9842.0
83,1970-12,13076.0
84,1971-01,3934.0
85,1971-02,3162.0
86,1971-03,4286.0
87,1971-04,4676.0
88,1971-05,5010.0
89,1971-06,4874.0
90,1971-07,4633.0
91,1971-08,1659.0
92,1971-09,5951.0
93,1971-10,6981.0
94,1971-11,9851.0
95,1971-12,12670.0
96,1972-01,4348.0
97,1972-02,3564.0
98,1972-03,4577.0
99,1972-04,4788.0
100,1972-05,4618.0
101,1972-06,5312.0
102,1972-07,4298.0
103,1972-08,1413.0
104,1972-09,5877.0
105,Perrin Freres monthly champagne sales millions ?64-?72,
