"artist_name","artist_uri","album_uri","album_name","album_img","album_type","is_collaboration","album_release_date","album_release_year","album_popularity","track_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity","track_preview_url","track_open_spotify_url"
"Tame Impala","5INjqkS1o8h1imAzPqGZBb","7qiwZFEiJ0Pxkl1YyBxVeV","Currents","https://i.scdn.co/image/11d45f8ffe3ccde167579d2ff0415387b76c4216","album",FALSE,"2015-07-18",2015-07-18,32,"Let It Happen","06cVXuF2P1NudUup7XpMZf",0.599,0.863,"C#",-6.456,"minor",0.0461,0.00489,0.0316,0.117,0.602,124.992,466893,4,"C# minor",28,"https://p.scdn.co/mp3-preview/9bbe4d48f3063b5a509e1d4518091c23e6c3e9d0?cid=6b14fbca0e414721a1940df3e61a0fd1","https://open.spotify.com/track/06cVXuF2P1NudUup7XpMZf"
"Tame Impala","5INjqkS1o8h1imAzPqGZBb","7qiwZFEiJ0Pxkl1YyBxVeV","Currents","https://i.scdn.co/image/11d45f8ffe3ccde167579d2ff0415387b76c4216","album",FALSE,"2015-07-18",2015-07-18,32,"Nangs","6mCKdJaTwBBlp2fkdpaakI",0.528,0.534,"C",-10.306,"major",0.339,0.202,0.9,0.15,0.36,167.671,107973,4,"C major",19,"https://p.scdn.co/mp3-preview/15803c677f01ee8fd6bf3cf08a797274649986ac?cid=6b14fbca0e414721a1940df3e61a0fd1","https://open.spotify.com/track/6mCKdJaTwBBlp2fkdpaakI"
"Tame Impala","5INjqkS1o8h1imAzPqGZBb","7qiwZFEiJ0Pxkl1YyBxVeV","Currents","https://i.scdn.co/image/11d45f8ffe3ccde167579d2ff0415387b76c4216","album",FALSE,"2015-07-18",2015-07-18,32,"The Moment","4RSTx1wzozO6oDFfqOKX5U",0.555,0.815,"G",-6.559,"major",0.0474,0.000266,0.142,0.0966,0.467,118.937,255440,4,"G major",23,"https://p.scdn.co/mp3-preview/c01bdcfcaf32b93f79e2fe9c46822c86094d7bd9?cid=6b14fbca0e414721a1940df3e61a0fd1","https://open.spotify.com/track/4RSTx1wzozO6oDFfqOKX5U"
"Tame Impala","5INjqkS1o8h1imAzPqGZBb","7qiwZFEiJ0Pxkl1YyBxVeV","Currents","https://i.scdn.co/image/11d45f8ffe3ccde167579d2ff0415387b76c4216","album",FALSE,"2015-07-18",2015-07-18,32,"Yes I'm Changing","4JdbglMZkCazuKhmDO37jM",0.376,0.591,"C",-7.493,"major",0.0321,0.105,0.000309,0.117,0.381,179.914,270653,4,"C major",21,"https://p.scdn.co/mp3-preview/cc47e322a5806c4bd7dd0599ee31cba4c78d17af?cid=6b14fbca0e414721a1940df3e61a0fd1","https://open.spotify.com/track/4JdbglMZkCazuKhmDO37jM"
"Tame Impala","5INjqkS1o8h1imAzPqGZBb","7qiwZFEiJ0Pxkl1YyBxVeV","Currents","https://i.scdn.co/image/11d45f8ffe3ccde167579d2ff0415387b76c4216","album",FALSE,"2015-07-18",2015-07-18,32,"Eventually","0bDcmTUNiEMHbSDq1axE0I",0.433,0.59,"A",-6.802,"minor",0.0309,0.0162,0.000817,0.114,0.166,77.944,319307,4,"A minor",21,"https://p.scdn.co/mp3-preview/779978455a6c2795df9ee3a77c6173054703fd30?cid=6b14fbca0e414721a1940df3e61a0fd1","https://open.spotify.com/track/0bDcmTUNiEMHbSDq1axE0I"
"Tame Impala","5INjqkS1o8h1imAzPqGZBb","7qiwZFEiJ0Pxkl1YyBxVeV","Currents","https://i.scdn.co/image/11d45f8ffe3ccde167579d2ff0415387b76c4216","album",FALSE,"2015-07-18",2015-07-18,32,"Gossip","4PNTGoFebvG5zgj2e23xgY",0.542,0.191,"B",-18.543,"minor",0.0353,0.975,0.986,0.104,0.349,119.534,55400,3,"B minor",15,"https://p.scdn.co/mp3-preview/c9023d13d3bbb4df1984ef55fafd4277366cd06c?cid=6b14fbca0e414721a1940df3e61a0fd1","https://open.spotify.com/track/4PNTGoFebvG5zgj2e23xgY"
"Tame Impala","5INjqkS1o8h1imAzPqGZBb","7qiwZFEiJ0Pxkl1YyBxVeV","Currents","https://i.scdn.co/image/11d45f8ffe3ccde167579d2ff0415387b76c4216","album",FALSE,"2015-07-18",2015-07-18,32,"The Less I Know The Better","3H4k1a2hltUkBMQyABk3C3",0.637,0.726,"E",-4.613,"major",0.0281,0.0105,0.0161,0.0922,0.774,116.872,218880,4,"E major",32,"https://p.scdn.co/mp3-preview/c4fef05bc8bf903d4d89cf7bfad28932f82034c8?cid=6b14fbca0e414721a1940df3e61a0fd1","https://open.spotify.com/track/3H4k1a2hltUkBMQyABk3C3"
"Tame Impala","5INjqkS1o8h1imAzPqGZBb","7qiwZFEiJ0Pxkl1YyBxVeV","Currents","https://i.scdn.co/image/11d45f8ffe3ccde167579d2ff0415387b76c4216","album",FALSE,"2015-07-18",2015-07-18,32,"Past Life","5q0bJPbVA3SUrVYxvdcsk7",0.375,0.764,"G",-7.75,"minor",0.0538,0.204,0.0027,0.226,0.305,145.537,227747,4,"G minor",16,"https://p.scdn.co/mp3-preview/7b746d8edf36f988aa67317d7f50195542321b8d?cid=6b14fbca0e414721a1940df3e61a0fd1","https://open.spotify.com/track/5q0bJPbVA3SUrVYxvdcsk7"
"Tame Impala","5INjqkS1o8h1imAzPqGZBb","7qiwZFEiJ0Pxkl1YyBxVeV","Currents","https://i.scdn.co/image/11d45f8ffe3ccde167579d2ff0415387b76c4216","album",FALSE,"2015-07-18",2015-07-18,32,"Disciples","0ZMkbEfhRfqb7UzcfF6NRI",0.653,0.855,"F",-6.044,"major",0.0378,0.078,0.868,0.396,0.564,126.986,108480,4,"F major",17,"https://p.scdn.co/mp3-preview/1e10b500f2eb475936958141d6ca0a33abe7417f?cid=6b14fbca0e414721a1940df3e61a0fd1","https://open.spotify.com/track/0ZMkbEfhRfqb7UzcfF6NRI"
"Tame Impala","5INjqkS1o8h1imAzPqGZBb","7qiwZFEiJ0Pxkl1YyBxVeV","Currents","https://i.scdn.co/image/11d45f8ffe3ccde167579d2ff0415387b76c4216","album",FALSE,"2015-07-18",2015-07-18,32,"'Cause I'm A Man","1ZTzlfJRQWkHCv6oP34Dv1",0.549,0.661,"A",-5.506,"major",0.0328,0.103,0.00108,0.143,0.651,144.687,241973,4,"A major",21,"https://p.scdn.co/mp3-preview/f27bd928953862ee601f387fba980262026a5882?cid=6b14fbca0e414721a1940df3e61a0fd1","https://open.spotify.com/track/1ZTzlfJRQWkHCv6oP34Dv1"
